17-Jul,17-Aug,17-Sep,17-Oct,17-Nov,17-Dec,18-Jan,18-Feb,18-Mar,18-Apr,18-May,18-Jun
10,10,10,10,10,10,30,20,40,10,10,10
110,110,90,90,90,90,140,110,110,110,110,110
10,10,30,10,20,30,30,30,30,20,10,30
320,320,390,320,390,140,140,210,210,260,320,320
8100,5400,4400,4400,3600,3600,5400,6600,14800,14800,12100,9900
590,320,320,480,590,720,1300,2900,2900,1900,1600,1000
49500,49500,49500,60500,49500,49500,49500,49500,60500,60500,60500,60500
20,10,10,10,30,10,10,10,20,30,20,20
20,20,20,10,20,30,30,50,30,20,20,20
22200,22200,33100,74000,60500,201000,33100,22200,27100,27100,22200,40500
10,10,0,10,10,10,10,10,0,0,10,0
20,10,0,10,10,0,0,0,0,10,10,0
10,10,10,10,10,10,10,10,20,10,10,10
10,10,10,10,10,10,10,10,10,10,10,10
10,10,0,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,20,30
40,50,90,70,110,90,110,90,70,110,210,90
90,90,110,70,70,20,50,70,40,50,40,70
10,10,40,50,30,20,0,0,0,10,0,0
10,20,10,30,10,10,10,10,10,0,0,0
40,10,20,20,20,20,20,10,10,40,90,70
30,10,10,10,10,0,10,10,10,10,10,10
10,10,10,10,10,10,10,10,10,10,10,0
110,110,140,110,90,140,260,210,170,140,170,110
10,10,10,10,10,10,10,10,10,10,10,10
260,210,260,390,320,320,590,880,1000,720,390,320
50,40,50,50,20,30,40,40,50,40,70,70
110,70,110,90,90,140,110,1600,110,90,90,90
10,10,10,10,10,10,10,0,10,10,10,0
20,20,10,10,10,10,10,10,10,10,0,0
20,10,30,70,90,70,40,10,10,10,10,10
10,20,10,10,10,20,30,40,10,10,10,20
260,210,170,140,170,210,210,170,170,260,320,210
50,30,40,20,30,20,30,20,30,40,30,20
2900,880,480,720,880,1300,1300,480,170,390,1900,4400
10,0,10,10,10,0,10,10,10,10,10,10
10,0,0,10,10,10,10,0,0,0,0,0
10,10,10,10,10,10,10,10,10,10,10,0
1300,1000,1000,1000,880,720,880,880,880,1600,1300,1000
10,0,10,0,10,10,10,10,10,10,10,10
30,10,20,10,10,10,10,0,10,10,0,10
50,50,70,40,30,20,30,10,10,10,10,20
10,10,10,10,10,10,20,10,10,10,10,0
210,170,480,260,260,210,260,210,390,260,260,170
5400,2900,2400,2400,1600,1300,1900,2400,9900,12100,8100,5400
10,10,10,10,10,10,10,10,10,10,10,10
10,0,0,0,0,0,10,10,0,10,0,0
260,140,210,70,50,30,70,50,50,40,40,110
0,10,0,0,0,0,10,0,10,10,0,0
20,10,20,10,10,20,50,50,30,30,30,30
40,50,40,50,40,40,50,70,50,40,40,30
170,30,10,10,0,0,0,0,10,10,10,0
320,210,210,210,210,210,320,260,260,320,480,390
10,10,0,10,10,10,0,0,10,10,10,0
170,90,90,90,70,90,140,170,320,590,720,390
10,10,10,10,10,10,10,10,10,10,10,10
10,10,10,10,10,10,20,10,10,20,10,10
10,10,10,10,10,10,10,10,0,0,10,10
10,0,0,10,0,0,0,10,0,0,0,10
210,140,140,210,170,320,320,210,390,260,260,260
260,210,260,320,320,260,320,390,320,260,260,210
880,590,720,720,720,720,880,1300,720,590,720,720
20,10,10,10,10,10,10,10,20,10,30,10
70,70,50,70,40,40,40,40,40,50,50,40
1900,1600,1600,1600,1600,1300,1600,1300,1600,1600,2400,1900
1900,1600,1300,1900,1300,1600,1300,1900,1600,1600,1600,1900
140,110,110,110,90,90,170,170,320,170,170,110
30,20,30,30,30,20,70,30,30,30,30,30
0,10,10,10,10,10,10,50,20,10,20,20
3600,3600,4400,4400,3600,4400,4400,8100,2900,2400,2900,2900
27100,9900,6600,8100,9900,12100,22200,27100,90500,165000,165000,110000
50,90,90,90,40,30,90,40,70,50,90,50
10,10,10,10,10,10,10,10,0,0,0,10
10,20,70,40,20,10,10,10,10,0,0,0
110,90,50,40,20,30,20,10,10,10,10,10
110000,135000,135000,110000,110000,165000,246000,4090000,201000,165000,165000,135000
4400,4400,3600,4400,3600,3600,4400,3600,3600,3600,4400,4400
1000,1000,1300,1000,1000,1300,1900,12100,1300,1000,1300,1300
480,260,170,170,90,110,260,170,170,140,320,320
10,0,10,10,0,10,10,10,10,0,0,0
165000,60500,33100,33100,27100,33100,49500,60500,165000,450000,450000,368000
4400,5400,4400,4400,4400,4400,4400,3600,3600,4400,5400,5400
2900,2900,2900,2900,2900,5400,3600,2400,2400,2900,2900,2900
4400,3600,3600,4400,4400,3600,4400,3600,3600,4400,4400,4400
170,170,260,140,110,140,210,390,480,260,170,110
2400,1900,1900,1900,1600,1600,1600,1600,1600,2900,2900,2400
3600,2900,2900,3600,3600,2900,3600,2900,2900,3600,4400,4400
140,140,140,90,90,140,140,260,480,390,320,320
1900,1900,1900,1900,1900,1900,2900,2900,4400,3600,2400,1900
3600,1900,1600,2900,2900,2900,2400,2900,6600,12100,8100,5400
20,10,10,10,10,10,10,10,10,10,20,10
880,880,1000,720,720,880,1600,22200,1300,720,880,1300
2400,1900,1900,2400,2400,1900,2400,2400,1900,1900,2400,2400
